InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,Fairness,InstFolder,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,2,2,12,0.2,100.0,10.0,5,LEXMMFSA,inst/inst2020,true,667932.6499618131,667932.6499618131,658730.5479003307,677134.7520232956,0.1268790229955042,0.005562268659943777,0.21552288912321813,3.557684898376465,0.0
2,Drahi_10.csv,2,2,12,0.2,100.0,10.0,5,LEXMMFSA,inst/inst2020,true,663767.2413156306,663767.2413156305,658692.1596831915,668842.3229480697,0.14484900760251473,0.07972518614302641,0.25349847930718333,0.04536604881286621,0.01
1,Drahi_1.csv,2,2,12,0.2,100.0,10.0,5,LEXMMFSA,inst/inst2020,true,729334.3862800607,729334.3862800609,721667.6203053761,737001.1522547456,0.12830926353852007,0.0009873904277670116,0.33275947131649697,7.910051107406616,0.02
2,Drahi_2.csv,2,2,12,0.2,100.0,10.0,5,LEXMMFSA,inst/inst2020,true,715924.5018880882,715924.5018880881,711686.6628521032,720162.3409240729,0.4278178143945754,0.013084849721184224,0.757821725170668,0.0722360610961914,0.01
1,Drahi_1.csv,2,2,12,0.2,100.0,10.0,5,LEXMMFSA,inst/inst2020,true,748690.1666189899,748690.1666189898,742466.1098119018,754914.2234260777,0.1158357775268282,0.004214313420642683,0.2349146245288694,6.934051990509033,0.01
2,Drahi_2.csv,2,2,12,0.2,100.0,10.0,5,LEXMMFSA,inst/inst2020,true,722935.4678983598,722935.4678983599,719026.3544644024,726844.5813323173,0.06862660653059294,0.004513613020645719,0.11695374232160143,0.08417916297912598,0.01
1,Drahi_1.csv,2,2,12,0.2,100.0,10.0,5,LEXMMFSA,inst/inst2020,true,711550.053048468,711550.053048468,706854.5864848654,716245.5196120704,0.04939207173021484,0.002135242970543928,0.151602568675761,6.73027491569519,0.01
2,Drahi_2.csv,2,2,12,0.2,100.0,10.0,5,LEXMMFSA,inst/inst2020,true,726386.3148233488,726386.3148233488,718084.0796647761,734688.5499819214,0.05858376543763934,0.012906237169008213,0.09656187490220854,0.09293794631958008,0.01
1,Drahi_1.csv,6,2,4,0.2,100.0,10.0,5,LEXMMFSA,inst/inst2020,true,665491.9884201966,665491.9884201966,643377.2272951788,687592.1478635649,0.3723320223654621,0.0015583601887326297,1.4570492781937634,2.894958019256592,0.06
1,Drahi_1.csv,6,6,4,0.6,100.0,10.0,10,LEXMMFSA,inst/inst2020,false,0.0,Inf,Inf,Inf,Inf,Inf,Inf,2318.3492329120636,319.61
7,Drahi_7.csv,6,6,4,0.6,100.0,10.0,5,LEXMMFSA,inst/inst2020,false,Inf,Inf,Inf,Inf,Inf,Inf,Inf,178.32110404968262,76.99
7,Drahi_7.csv,6,6,4,0.6,100.0,10.0,5,LEXMMFSA,inst/inst2020,true,641978.5575870435,641978.5575870888,521618.25098914665,799370.627155053,0.5002679107744777,5.90377841115416e-6,11.202886712559305,536.3081059455872,83.55
7,Drahi_7.csv,6,6,4,0.6,100.0,10.0,5,LEXMMFSA,inst/inst2020,false,Inf,Inf,Inf,Inf,Inf,Inf,Inf,279.61693382263184,59.07
7,Drahi_7.csv,6,6,4,0.6,100.0,10.0,5,LEXMMFSA,inst/inst2020,true,673308.3794726772,673308.3794728179,530786.9978601725,786986.572818608,0.5893512593432493,1.9692826287083247e-5,5.5676620742074485,875.5605070590973,170.66
7,Drahi_7.csv,6,6,4,0.6,100.0,20.0,5,LEXMMFSA,inst/inst2020,true,675941.9597881906,675941.9597881916,558970.6929966385,787479.5244996715,0.39670574786539153,1.0091768449255687e-5,2.5336358426855705,202.36291003227234,49.79
7,Drahi_7.csv,6,6,4,0.6,100.0,20.0,5,LEXMMFSA,inst/inst2020,true,673295.0849617018,673295.0849619196,541945.6074786342,795217.0205032268,0.4126162383386784,1.7358545135140373e-5,3.420598607177268,208.3618679046631,50.33
